,SEED,NOISE,DATASET,MODEL,ERROR
75,1234,0.1,SIMULATION_00_03,PIDNN_400,0.00036988704232499003
76,1234,0.1,SIMULATION_00_03,PIDNN_800,8.109903137665242e-05
77,1234,0.1,SIMULATION_00_10,FF_200,0.002285975031554699
78,1234,0.1,SIMULATION_00_10,FF_400,0.0013200213434174657
79,1234,0.1,SIMULATION_00_10,FF_800,0.0007067018887028098
80,1234,0.1,SIMULATION_00_10,FF_1600,0.00043086204095743597
81,1234,0.1,SIMULATION_00_10,PIDNN_200,0.0009754497441463172
82,1234,0.1,SIMULATION_00_10,PIDNN_400,0.0003022284363396466
83,1234,0.1,SIMULATION_00_10,PIDNN_800,0.0001697744446573779
84,1234,0.1,SIMULATION_10_20,FF_200,0.0004009411495644599
85,1234,0.1,SIMULATION_10_20,FF_400,0.0004925684188492596
86,1234,0.1,SIMULATION_10_20,FF_800,0.00019508616242092103
87,1234,0.1,SIMULATION_10_20,FF_1600,0.0002728439576458186
88,1234,0.1,SIMULATION_10_20,PIDNN_200,0.00017759417823981494
89,1234,0.1,SIMULATION_10_20,PIDNN_400,0.00014244466728996485
90,1234,0.1,SIMULATION_10_20,PIDNN_800,6.313361518550664e-05
91,1234,0.1,SIMULATION_00_20,FF_200,0.004585896618664265
92,1234,0.1,SIMULATION_00_20,FF_400,0.0011888600420206785
93,1234,0.1,SIMULATION_00_20,FF_800,0.0009468076750636101
94,1234,0.1,SIMULATION_00_20,FF_1600,0.0006503418553620577
95,1234,0.1,SIMULATION_00_20,PIDNN_200,0.001100426190532744
96,1234,0.1,SIMULATION_00_20,PIDNN_400,0.00035092190955765545
97,1234,0.1,SIMULATION_00_20,PIDNN_800,0.0001980509696295485
98,1234,0.1,SIMULATION_00_40,FF_200,0.003315306268632412
99,1234,0.1,SIMULATION_00_40,FF_400,0.0017953206552192569
100,1234,0.1,SIMULATION_00_40,FF_800,0.0009640198550187051
101,1234,0.1,SIMULATION_00_40,FF_1600,0.00041939751827158034
102,1234,0.1,SIMULATION_00_40,PIDNN_200,0.0006168751860968769
103,1234,0.1,SIMULATION_00_40,PIDNN_400,0.0002324556262465194
104,1234,0.1,SIMULATION_00_40,PIDNN_800,0.00019402788893785328
105,2314,0.0,SIMULATION_00_03,FF_200,0.007659435272216797
106,2314,0.0,SIMULATION_00_03,FF_400,0.0002755294553935528
107,2314,0.0,SIMULATION_00_03,FF_800,0.00010670158371794969
108,2314,0.0,SIMULATION_00_03,FF_1600,8.992133371066302e-05
109,2314,0.0,SIMULATION_00_03,PIDNN_200,2.29258366744034e-05
110,2314,0.0,SIMULATION_00_03,PIDNN_400,1.725896800053306e-05
