NOISE,DATASET,MODEL,MEAN_ERR,STD_ERR
0.1,SIMULATION_00_03,PIDNN_200,0.0005564713986435,0.00032165380733621023
0.1,SIMULATION_00_03,PIDNN_400,0.0003485338820609333,5.1759017778234895e-05
0.1,SIMULATION_00_03,PIDNN_800,0.00011028018828555081,3.465302966609884e-05
0.1,SIMULATION_00_10,FF_200,0.0010696860942213,0.0006008782726765034
0.1,SIMULATION_00_10,FF_400,0.003625158686190767,0.0019178380627960082
0.1,SIMULATION_00_10,FF_800,0.0025898455254112335,0.0013101554018251885
0.1,SIMULATION_00_10,FF_1600,0.0017619621551905667,0.0009189437038987418
0.1,SIMULATION_00_10,PIDNN_200,0.0010548524830179668,9.001546127841448e-05
0.1,SIMULATION_00_10,PIDNN_400,0.00037877345069616664,0.00014236212029514653
0.1,SIMULATION_00_10,PIDNN_800,0.0001579387050393,4.439985071512957e-05
0.1,SIMULATION_10_20,FF_200,0.0010530117433517666,0.0003488382418561777
0.1,SIMULATION_10_20,FF_400,0.0038124421456207334,0.00241527266283545
0.1,SIMULATION_10_20,FF_800,0.0026930628033975334,0.001304826180964262
0.1,SIMULATION_10_20,FF_1600,0.0017996942624449333,0.0007499453614469267
0.1,SIMULATION_10_20,PIDNN_200,0.0007474953405714,0.00031727584301394733
0.1,SIMULATION_10_20,PIDNN_400,0.00035938096698366666,8.156662450380078e-05
0.1,SIMULATION_10_20,PIDNN_800,0.00020124671088216667,4.45251216371643e-05
0.1,SIMULATION_00_20,FF_200,0.0011892280793593,0.0006849647142409658
0.1,SIMULATION_00_20,FF_400,0.005704164039343567,0.0035914593292457747
0.1,SIMULATION_00_20,FF_800,0.0029155543306842,0.0009906405940019274
0.1,SIMULATION_00_20,FF_1600,0.0019143217359668997,0.0008886744855179094
0.1,SIMULATION_00_20,PIDNN_200,0.0008150764042511001,0.00023810634693302975
0.1,SIMULATION_00_20,PIDNN_400,0.0005949143524048667,0.00034362272280195395
0.1,SIMULATION_00_20,PIDNN_800,0.00030325415718826667,0.00010040689461277127
0.1,SIMULATION_00_40,FF_200,0.00019859333406200001,6.888700392210183e-05
0.1,SIMULATION_00_40,FF_400,0.0008617973556586334,0.0005923420412405982
0.1,SIMULATION_00_40,FF_800,0.0005772164440713334,7.391117850121255e-05
0.1,SIMULATION_00_40,FF_1600,0.0002705089767308,0.00011823156316719747
0.1,SIMULATION_00_40,PIDNN_200,0.00024001796070169997,8.019616756367397e-05
0.1,SIMULATION_00_40,PIDNN_400,0.00010131846162643606,3.924934146200418e-05
0.1,SIMULATION_00_40,PIDNN_800,3.900576181573948e-05,2.1285876824720575e-05
