,INTERNAL_O3_100,INTERNAL_O3_200,INTERNAL_O3_400,WEAK_FF_100,WEAK_FF_200,WEAK_FF_400
TOY_NOSTOP,0.22632381319999695,0.17075268924236298,0.2065349519252777,0.6144061088562012,0.6039519309997559,0.5160849690437317
TOY_STOP,0.47303634881973267,0.533987820148468,0.561005175113678,0.46213293075561523,0.5629172325134277,0.7258577346801758
SIMULATION_NOSTOP,0.06571365147829056,0.0906599909067154,0.3037400543689728,0.3472394645214081,0.19701546430587769,0.15786685049533844
SIMULATION_STOP,0.10593081265687943,0.03726714849472046,0.08328469097614288,0.6833837628364563,0.3860306441783905,0.28908365964889526
