,INTERNAL_O3_100,INTERNAL_O3_200,INTERNAL_O3_400,WEAK_FF_100,WEAK_FF_200,WEAK_FF_400
TOY_NOSTOP,0.01658850722014904,0.012867234647274017,0.005524490959942341,0.10274122655391693,0.09557078033685684,0.15018907189369202
TOY_STOP,0.0689849853515625,0.052919983863830566,0.04840664565563202,0.1516701877117157,0.1320156753063202,0.1529049426317215
SIMULATION_NOSTOP,0.008130444213747978,0.004868809599429369,0.0055043017491698265,0.01146356575191021,0.008854052051901817,0.006360422354191542
SIMULATION_STOP,0.03287234157323837,0.015861164778470993,0.010924036614596844,0.09532494097948074,0.08345542103052139,0.041751179844141006
