,BORDER_O1,INTERNAL_O3,WEAK_FF
TOY_NOSTOP,0.22224067151546478,0.08827369660139084,0.09206537157297134
TOY_STOP,0.7088614106178284,0.17528977990150452,0.38377824425697327
SIMULATION_NOSTOP,0.9148648381233215,0.3643113672733307,0.1789017617702484
SIMULATION_STOP,0.33718472719192505,0.44083911180496216,0.4592141807079315
