,INTERNAL_O3_100,INTERNAL_O3_200,INTERNAL_O3_400,WEAK_FF_100,WEAK_FF_200,WEAK_FF_400
TOY_NOSTOP,0.000299999286653474,0.0007532114395871758,0.00026880027144216,0.0009063208126462996,0.0007385056233033538,0.00036580555024556816
TOY_STOP,0.06912717968225479,0.049775879830121994,0.046057187020778656,0.006368119269609451,0.0017022027168422937,0.001480708597227931
SIMULATION_NOSTOP,0.0032326995860785246,0.002453728811815381,0.0026035583578050137,0.0030368284787982702,0.0023899951484054327,0.0024084283504635096
SIMULATION_STOP,0.004587460309267044,0.004488265607506037,0.0041946410201489925,0.12411757558584213,0.005430411081761122,0.005139824468642473
