,INTERNAL_O3_100,INTERNAL_O3_200,INTERNAL_O3_400,WEAK_FF_100,WEAK_FF_200,WEAK_FF_400
TOY_NOSTOP,0.21591554582118988,0.23787179589271545,0.19685153663158417,0.2953604757785797,0.3422045409679413,0.3483554720878601
TOY_STOP,0.48191097378730774,0.5190264582633972,0.5348005294799805,0.5326346755027771,0.580603301525116,0.5644879937171936
SIMULATION_NOSTOP,0.09070415794849396,0.17527034878730774,0.07437221705913544,0.14959590137004852,0.15344811975955963,0.14849528670310974
SIMULATION_STOP,0.10958336293697357,0.037631046026945114,0.08976556360721588,0.18146847188472748,0.1466807872056961,0.06835764646530151
