,INTERNAL_O3,WEAK_FF
TOY_NOSTOP,0.012867234647274017,0.09557078033685684
TOY_STOP,0.052919983863830566,0.1320156753063202
SIMULATION_NOSTOP,0.004868809599429369,0.008854052051901817
SIMULATION_STOP,0.015861164778470993,0.08345542103052139
