,INTERNAL_O3,WEAK_FF
TOY_NOSTOP,0.17075268924236298,0.6039519309997559
TOY_STOP,0.533987820148468,0.5629172325134277
SIMULATION_NOSTOP,0.0906599909067154,0.19701546430587769
SIMULATION_STOP,0.03726714849472046,0.3860306441783905
