,FF_200,FF_400,FF_800,FF_1600,PIDNN_200,PIDNN_400,PIDNN_800
SIMULATION_00_03,4.28e-04,3.66e-04,3.68e-04,1.07e-04,1.73e-04,1.74e-05,1.63e-05
SIMULATION_00_10,1.32e-04,4.10e-05,6.39e-05,1.72e-05,5.05e-06,3.75e-06,2.64e-06
SIMULATION_10_20,8.24e-05,4.62e-05,2.38e-04,5.93e-04,3.14e-06,1.82e-06,4.96e-06
SIMULATION_00_20,1.60e-04,4.12e-04,2.89e-05,8.42e-05,6.37e-06,1.38e-06,1.59e-06
SIMULATION_00_40,5.28e-04,7.13e-05,2.93e-05,2.46e-05,6.75e-05,1.48e-05,4.37e-06
