,FF_200,FF_400,FF_800,FF_1600,PIDNN_200,PIDNN_400,PIDNN_800
SIMULATION_00_03,5.56e-03,2.49e-03,9.97e-04,6.57e-04,2.72e-04,3.70e-04,8.11e-05
SIMULATION_00_10,2.29e-03,1.32e-03,7.07e-04,4.31e-04,9.75e-04,3.02e-04,1.70e-04
SIMULATION_10_20,4.01e-04,4.93e-04,1.95e-04,2.73e-04,1.78e-04,1.42e-04,6.31e-05
SIMULATION_00_20,4.59e-03,1.19e-03,9.47e-04,6.50e-04,1.10e-03,3.51e-04,1.98e-04
SIMULATION_00_40,3.32e-03,1.80e-03,9.64e-04,4.19e-04,6.17e-04,2.32e-04,1.94e-04
