,N_u,N_f,alpha,Validation Error
0,800,800,0.01,0.17845867574214935
1,800,800,0.1,5349119623168.0
2,800,800,1.0,686537728.0
3,800,800,10.0,9.368955943500623e-05
4,800,800,100.0,0.17848899960517883
5,800,4000,0.01,8026887680.0
6,800,4000,0.1,
7,800,4000,1.0,
8,800,4000,10.0,
9,800,4000,100.0,6.545710493810475e-05
10,800,8000,0.01,0.2994364798069
11,800,8000,0.1,0.03954746946692467
12,800,8000,1.0,8.593997335992754e-05
13,800,8000,10.0,0.15258918702602386
14,800,8000,100.0,0.000417047122027725
