,N_u,N_f,alpha,Validation Error
0,800,800,0.01,0.17845706641674042
1,800,800,0.1,0.17849300801753998
2,800,800,1.0,0.17850567400455475
3,800,800,10.0,7.254333468154073e-05
4,800,800,100.0,0.17845770716667175
5,800,4000,0.01,5.5133124988060445e-05
6,800,4000,0.1,4.163130870438181e-05
7,800,4000,1.0,0.17936332523822784
8,800,4000,10.0,2.907655289163813e-05
9,800,4000,100.0,2.5650411771493964e-05
10,800,8000,0.01,0.17909608781337738
11,800,8000,0.1,1626.873046875
12,800,8000,1.0,0.17979930341243744
13,800,8000,10.0,1.744045403029304e-05
14,800,8000,100.0,0.1938689649105072
