,BORDER_O1,INTERNAL_O3,STRONG_FF,WEAK_FF
ARTIFICIAL_NOSTOP,0.22224067151546478,0.09113230556249619,0.3259386718273163,0.23943959176540375
ARTIFICIAL_STOP,0.7088614106178284,0.3946845829486847,0.2765437066555023,0.06886324286460876
SIMULATION_NOSTOP,0.9148648381233215,0.36171913146972656,0.10420345515012741,0.1355215311050415
SIMULATION_STOP,0.3228912353515625,0.40349575877189636,0.5149242281913757,0.41516491770744324
