,FF_200,FF_400,FF_800,FF_1600,PIDNN_200,PIDNN_400,PIDNN_800
WILDCARD_01,4.62e-04,4.35e-04,1.77e-04,9.32e-05,2.31e-04,1.73e-04,7.54e-05
WILDCARD_02,1.44e-03,1.97e-04,1.31e-04,8.60e-05,2.11e-04,1.31e-04,2.25e-04
