,FF_200,FF_400,FF_800,FF_1600,PIDNN_200,PIDNN_400,PIDNN_800
WILDCARD_01,1.31e-03,4.32e-04,4.54e-04,3.43e-04,3.24e-03,3.23e-04,1.87e-04
WILDCARD_02,1.03e-03,4.70e-04,3.00e-04,2.11e-04,1.03e+04,2.90e-04,3.00e-04
